,title,link,department_id,brand,rating,tcin,price,currency,symbol,sponsored,primary_title,ounces
194,9 Elements LQ Laundry Detergent - Lavender - 65 fl oz,https://www.target.com/p/9-elements-lq-laundry-detergent-lavender-65-fl-oz/-/A-87559729,3,9 Elements,0.0,87559729,13.39,USD,$,False,9 Elements LQ Laundry Detergent ,65
130,9 Elements Lemon Scent Liquid Laundry Detergent - 92 fl oz,https://www.target.com/p/9-elements-lemon-scent-liquid-laundry-detergent-92-fl-oz/-/A-81260432,3,9 Elements,4.3,81260432,15.99,USD,$,False,9 Elements Lemon Scent Liquid Laundry Detergent ,92
131,9 Elements Liquid Laundry Detergent - Eucalyptus - 92 fl oz,https://www.target.com/p/9-elements-liquid-laundry-detergent-eucalyptus-92-fl-oz/-/A-84130807,3,9 Elements,0.0,84130807,15.99,USD,$,False,9 Elements Liquid Laundry Detergent ,92
133,9 Elements Liquid Laundry Detergent - Eucalyptus - 92 fl oz,https://www.target.com/p/9-elements-liquid-laundry-detergent-eucalyptus-92-fl-oz/-/A-84130807,3,9 Elements,0.0,84130807,15.99,USD,$,False,9 Elements Liquid Laundry Detergent ,92
2,All Free Clear Liquid Concentrated Laundry Concentrated Detergent - 141 fl oz,https://www.target.com/p/all-free-clear-liquid-concentrated-laundry-concentrated-detergent-141-fl-oz/-/A-48638959,3,All,0.0,48638959,13.29,USD,$,False,All Free Clear Liquid Concentrated Laundry Concentrated Detergent ,141
25,All Free Clear Liquid Laundry Detergent with OXI Stain Removers 79 Loads - 141 fl oz,https://www.target.com/p/all-free-clear-liquid-laundry-detergent-with-oxi-stain-removers-79-loads-141-fl-oz/-/A-48637582,3,All,4.8,48637582,13.29,USD,$,False,All Free Clear Liquid Laundry Detergent with OXI Stain Removers 79 Loads ,141
32,All Liquid Laundry Detergent - Free Clear for Sensitive Skin -  88 fl oz,https://www.target.com/p/all-liquid-laundry-detergent-free-clear-for-sensitive-skin-88-fl-oz/-/A-13219348,3,All,0.0,13219348,8.89,USD,$,False,All Liquid Laundry Detergent ,88
88,All Mighty Pacs Free Clear Laundry Detergent Pacs - 39ct/25.8oz,https://www.target.com/p/all-mighty-pacs-free-clear-laundry-detergent-pacs-39ct-25-8oz/-/A-14044973,3,All,4.6,14044973,9.79,USD,$,False,All Mighty Pacs Free Clear Laundry Detergent Pacs ,25.8
17,All Mighty Pacs Free Clear Laundry Detergent Pacs - 60ct/24.7oz,https://www.target.com/p/all-mighty-pacs-free-clear-laundry-detergent-pacs-60ct-24-7oz/-/A-47022733,3,All,4.8,47022733,13.69,USD,$,False,All Mighty Pacs Free Clear Laundry Detergent Pacs ,24.7
71,All Mighty Pacs Free Clear Laundry Detergent Pacs with OXI Stain Removers - 56ct/39.5oz,https://www.target.com/p/all-mighty-pacs-free-clear-laundry-detergent-pacs-with-oxi-stain-removers-56ct-39-5oz/-/A-75663993,3,All,4.6,75663993,12.99,USD,$,False,All Mighty Pacs Free Clear Laundry Detergent Pacs with OXI Stain Removers ,39.5
59,All Stainlifter Original Liquid Laundry Detergent 100 Loads - 150 fl oz,https://www.target.com/p/all-stainlifter-original-liquid-laundry-detergent-100-loads-150-fl-oz/-/A-48638781,3,All,4.6,48638781,11.99,USD,$,False,All Stainlifter Original Liquid Laundry Detergent 100 Loads ,150
109,All Ultra Free Clear Odor Relief HE Liquid Laundry Detergent - 141oz,https://www.target.com/p/all-ultra-free-clear-odor-relief-he-liquid-laundry-detergent-141oz/-/A-52937558,3,All,4.8,52937558,13.29,USD,$,False,All Ultra Free Clear Odor Relief HE Liquid Laundry Detergent ,141
98,Ariel Powder Laundry Detergent - 211oz,https://www.target.com/p/ariel-powder-laundry-detergent-211oz/-/A-79784596,3,Ariel Laundry Detergent,4.7,79784596,14.69,USD,$,False,Ariel Powder Laundry Detergent ,211
115,Ariel Powder Laundry Detergent - 211oz,https://www.target.com/p/ariel-powder-laundry-detergent-211oz/-/A-79784596,3,Ariel Laundry Detergent,4.7,79784596,14.69,USD,$,False,Ariel Powder Laundry Detergent ,211
113,Ariel with a Touch of Downy Freshness Powder Laundry Detergent - 158oz,https://www.target.com/p/ariel-with-a-touch-of-downy-freshness-powder-laundry-detergent-158oz/-/A-84114496,3,Ariel Laundry Detergent,4.9,84114496,14.69,USD,$,False,Ariel with a Touch of Downy Freshness Powder Laundry Detergent ,158
